City,State,Abbrev,Latitude,Longitude,Per_1k,Population,Total
Abbeville,ALABAMA,AL,31.5718,-85.2505,3.136025088,2551,8
Adamsville,ALABAMA,AL,33.6009,-86.9561,6.708304418,4323,29
Addison,ALABAMA,AL,34.2023,-87.1814,6.896551724,725,5
Alabaster,ALABAMA,AL,33.2443,-86.8164,2.507387839,33501,84
Alexander City,ALABAMA,AL,32.944,-85.9539,4.536706076,14548,66
Aliceville,ALABAMA,AL,33.1296,-88.1514,3.023758099,2315,7
Altoona,ALABAMA,AL,34.0262,-86.3261,2.188183807,914,2
Andalusia,ALABAMA,AL,31.3085,-86.4832,4.341368674,8753,38
Anderson,ALABAMA,AL,34.9248,-87.2687,3.636363636,275,1
Anniston,ALABAMA,AL,33.6594,-85.8316,4.168210448,21592,90
Arab,ALABAMA,AL,34.3181,-86.4958,4.090963783,8311,34
Ardmore,ALABAMA,AL,34.99,-86.85,7.00280112,1428,10
Argo,ALABAMA,AL,33.6818,-86.5305,2.094972067,4296,9
Arley,ALABAMA,AL,34.08,-87.2126,5.813953488,344,2
Ashford,ALABAMA,AL,31.183,-85.2363,2.797202797,2145,6
Ashland,ALABAMA,AL,33.2737,-85.8361,7.299270073,1918,14
Ashville,ALABAMA,AL,33.8369,-86.255,2.172024327,2302,5
Athens,ALABAMA,AL,34.8029,-86.9717,2.253887,26177,59
Atmore,ALABAMA,AL,31.0238,-87.4939,3.655935818,9847,36
Attalla,ALABAMA,AL,34.0218,-86.0886,5.002587545,5797,29
Auburn,ALABAMA,AL,32.6099,-85.4808,2.180376611,65585,143
Autaugaville,ALABAMA,AL,32.434,-86.6547,1.17370892,852,1
Baker Hill,ALABAMA,AL,,,11.90476191,252,3
Bay Minette,ALABAMA,AL,30.883,-87.773,3.224419604,9304,30
Bayou La Batre,ALABAMA,AL,30.4169,-88.225,8,2500,20
Bear Creek,ALABAMA,AL,34.2748,-87.7006,1.926782274,1038,2
Berry,ALABAMA,AL,33.6598,-87.6,4.578754579,1092,5
Bessemer,ALABAMA,AL,33.4018,-86.9544,6.05945122,26240,159
Birmingham,ALABAMA,AL,33.5207,-86.8024,4.639919454,210564,977
Blountsville,ALABAMA,AL,34.0815,-86.5911,4.196642686,1668,7
Boaz,ALABAMA,AL,34.2007,-86.1664,3.099814011,9678,30
Brantley,ALABAMA,AL,31.5824,-86.2572,5.095541401,785,4
Brent,ALABAMA,AL,32.9373,-87.1647,1.442406759,4853,7
Brewton,ALABAMA,AL,31.1052,-87.0722,5.564082886,5212,29
Bridgeport,ALABAMA,AL,34.9476,-85.7144,7.397737163,2298,17
Brighton,ALABAMA,AL,33.4343,-86.9472,1.797268152,2782,5
Brilliant,ALABAMA,AL,34.0254,-87.7584,2.306805075,867,2
Brookwood,ALABAMA,AL,33.2557,-87.3208,3.224073079,1861,6
Brundidge,ALABAMA,AL,31.7202,-85.8161,9.302325581,1935,18
Butler,ALABAMA,AL,32.0896,-88.222,4.656577416,1718,8
Calera,ALABAMA,AL,33.1035,-86.7506,2.651039487,14334,38
Camden,ALABAMA,AL,31.991,-87.2905,4.385964912,1824,8
Camp Hill,ALABAMA,AL,32.8004,-85.6536,6.263048017,958,6
Carbon Hill,ALABAMA,AL,33.8918,-87.5261,2.088772846,1915,4
Carrollton,ALABAMA,AL,33.2618,-88.095,2.081165453,961,2
Cedar Bluff,ALABAMA,AL,34.2201,-85.6077,2.787068004,1794,5
Centre,ALABAMA,AL,34.152,-85.6789,3.714285714,3500,13
Centreville,ALABAMA,AL,32.9446,-87.1386,2.624671916,2667,7
Chatom,ALABAMA,AL,31.4652,-88.2545,4.166666667,1200,5
Cherokee,ALABAMA,AL,34.757,-87.9728,4.004004004,999,4
Chickasaw,ALABAMA,AL,30.7638,-88.0747,6.082725061,5754,35
Childersburg,ALABAMA,AL,33.2782,-86.355,3.901437372,4870,19
Clanton,ALABAMA,AL,32.8387,-86.6294,3.305596717,8773,29
Clayton,ALABAMA,AL,31.8782,-85.4497,1.401541696,2854,4
Cleveland,ALABAMA,AL,33.9909,-86.5775,2.291825821,1309,3
Clio,ALABAMA,AL,31.7088,-85.6105,2.682763246,1491,4
Coaling,ALABAMA,AL,33.159,-87.3408,2.408187839,1661,4
Collinsville,ALABAMA,AL,34.264,-85.8605,4.575495679,1967,9
Columbia,ALABAMA,AL,31.2927,-85.1116,2.747252747,728,2
Columbiana,ALABAMA,AL,33.1782,-86.6072,2.754237288,4720,13
Coosada,ALABAMA,AL,32.4979,-86.3314,3.098373354,1291,4
Cordova,ALABAMA,AL,33.7598,-87.1833,5.675954592,1938,11
Cottonwood,ALABAMA,AL,31.0488,-85.3049,1.598721023,1251,2
Courtland,ALABAMA,AL,34.669,-87.3095,1.706484642,586,1
Creola,ALABAMA,AL,30.8919,-88.0397,6.480558325,2006,13
Crossville,ALABAMA,AL,34.2876,-85.9941,2.16802168,1845,4
Cuba,ALABAMA,AL,32.4282,-88.3764,6.711409396,298,2
Cullman,ALABAMA,AL,34.1748,-86.8436,4.718810601,15470,73
Dadeville,ALABAMA,AL,32.8312,-85.7636,4.205758654,3091,13
Daleville,ALABAMA,AL,31.3102,-85.713,4.513343799,5096,23
Daphne,ALABAMA,AL,30.6035,-87.9036,3.56901345,26618,95
Dauphin Island,ALABAMA,AL,30.2496,-88.1839,14.12872841,1274,18
Decatur,ALABAMA,AL,34.6059,-86.9833,2.730274688,54207,148
Demopolis,ALABAMA,AL,32.5178,-87.8368,3.840472674,6770,26
Dora,ALABAMA,AL,33.7287,-87.0903,4.744333158,1897,9
Dothan,ALABAMA,AL,31.2232,-85.3905,3.399970816,68530,233
Double Springs,ALABAMA,AL,34.1465,-87.4022,6.796116505,1030,7
Douglas,ALABAMA,AL,34.1737,-86.3236,5.188067445,771,4
East Brewton,ALABAMA,AL,31.0932,-87.0627,6.321112516,2373,15
Eclectic,ALABAMA,AL,32.6354,-86.0344,8.806262231,1022,9
Elba,ALABAMA,AL,31.4146,-86.0677,4.658385093,3864,18
Elberta,ALABAMA,AL,30.4144,-87.5978,5.166475316,1742,9
Enterprise,ALABAMA,AL,31.3152,-85.8552,2.388982574,28464,68
Eufaula,ALABAMA,AL,31.8913,-85.1455,4.703905922,11905,56
Eutaw,ALABAMA,AL,32.8407,-87.8875,3.388554217,2656,9
Evergreen,ALABAMA,AL,31.4335,-86.9569,6.870019236,3639,25
Excel,ALABAMA,AL,31.4279,-87.3414,3.091190108,647,2
Fairfield,ALABAMA,AL,33.4859,-86.9119,6.305882353,10625,67
Fairhope,ALABAMA,AL,30.523,-87.9033,2.858723718,21688,62
Falkville,ALABAMA,AL,34.3684,-86.9086,4.827031376,1243,6
Fayette,ALABAMA,AL,33.6846,-87.8309,2.550428936,4313,11
Flomaton,ALABAMA,AL,31.0002,-87.2608,8.683068017,1382,12
Florala,ALABAMA,AL,31.0052,-86.328,2.627430373,1903,5
Florence,ALABAMA,AL,34.7998,-87.6773,3.356293049,39925,134
Foley,ALABAMA,AL,30.4066,-87.6836,4.909284952,18740,92
Fort Payne,ALABAMA,AL,34.4443,-85.7197,2.63045642,14066,37
Franklin,ALABAMA,AL,31.7146,-87.4114,7.936507937,126,1
Frisco City,ALABAMA,AL,31.4335,-87.4014,1.70212766,1175,2
Fultondale,ALABAMA,AL,33.6048,-86.7939,3.436426117,9312,32
Fyffe,ALABAMA,AL,34.4468,-85.9041,3.929273084,1018,4
Gadsden,ALABAMA,AL,34.0144,-86.0067,3.834791501,35204,135
Gardendale,ALABAMA,AL,33.6601,-86.8128,2.804343137,13907,39
Geneva,ALABAMA,AL,31.033,-85.8638,2.986446129,4353,13
Georgiana,ALABAMA,AL,31.6371,-86.7419,6.798516687,1618,11
Geraldine,ALABAMA,AL,34.3515,-86.0008,3.333333333,900,3
Glencoe,ALABAMA,AL,33.957,-85.9325,1.553096486,5151,8
Goodwater,ALABAMA,AL,33.0657,-86.0533,9.160305344,1310,12
Gordo,ALABAMA,AL,33.3201,-87.9028,2.455494168,1629,4
Gordon,ALABAMA,AL,31.1413,-85.0966,6.153846154,325,2
Grant,ALABAMA,AL,34.5287,-86.2533,2.197802198,910,2
Greensboro,ALABAMA,AL,32.7046,-87.5958,3.930131004,2290,9
Greenville,ALABAMA,AL,31.8296,-86.6178,4.362771021,7564,33
Grove Hill,ALABAMA,AL,31.7088,-87.7772,4.163775156,1441,6
Guin,ALABAMA,AL,33.9657,-87.9147,3.982300885,2260,9
Gulf Shores,ALABAMA,AL,30.246,-87.7008,5.327118362,12014,64
Guntersville,ALABAMA,AL,34.3581,-86.2947,5.436067124,8462,46
Hackleburg,ALABAMA,AL,34.2776,-87.8284,2.739726027,1460,4
Haleyville,ALABAMA,AL,34.2265,-87.6214,3.790750569,3957,15
Hamilton,ALABAMA,AL,34.1423,-87.9886,1.966419604,6611,13
Hanceville,ALABAMA,AL,34.0607,-86.7675,5.258545136,3423,18
Harpersville,ALABAMA,AL,33.344,-86.438,4.067402673,1721,7
Hartford,ALABAMA,AL,31.1024,-85.6969,6.184770004,2587,16
Hartselle,ALABAMA,AL,34.4438,-86.9359,0.417101147,14385,6
Hayneville,ALABAMA,AL,32.184,-86.5803,2.481389578,806,2
Headland,ALABAMA,AL,31.3513,-85.3422,3.61240969,4706,17
Heflin,ALABAMA,AL,33.649,-85.5875,3.806734993,3415,13
Helena,ALABAMA,AL,33.2962,-86.8436,1.444266777,19387,28
Henagar,ALABAMA,AL,34.6351,-85.7672,4.24808836,2354,10
Hillsboro,ALABAMA,AL,34.6393,-87.1917,1.945525292,514,1
Hokes Bluff,ALABAMA,AL,33.9982,-85.8664,1.640496836,4267,7
Hollywood,ALABAMA,AL,34.7242,-85.9725,3.10880829,965,3
Homewood,ALABAMA,AL,33.4788,-86.7896,4.740822004,25523,121
Hoover,ALABAMA,AL,33.3849,-86.807,2.689397926,85521,230
Hueytown,ALABAMA,AL,33.4512,-86.9967,2.928352964,15367,45
Huntsville,ALABAMA,AL,34.7298,-86.5859,3.219407995,196620,633
Ider,ALABAMA,AL,34.7142,-85.6808,18.15642458,716,13
Irondale,ALABAMA,AL,33.5382,-86.7072,3.123498318,12486,39
Jackson,ALABAMA,AL,31.5091,-87.8944,4.436932178,4733,21
Jacksons Gap,ALABAMA,AL,32.8862,-85.8116,3.6900369,813,3
Jacksonville,ALABAMA,AL,33.8137,-85.7613,3.03175363,12534,38
Jasper,ALABAMA,AL,33.8312,-87.2775,5.106571936,13512,69
Jemison,ALABAMA,AL,32.9598,-86.7467,4.946727549,2628,13
Killen,ALABAMA,AL,34.8629,-87.5375,4.127966976,969,4
Kimberly,ALABAMA,AL,33.7734,-86.8139,2.156500308,3246,7
Kinsey,ALABAMA,AL,31.2991,-85.3444,0.917010546,2181,2
Kinston,ALABAMA,AL,31.216,-86.1711,1.834862385,545,1
LaFayette,ALABAMA,AL,32.8998,-85.4011,4.085801839,2937,12
Lake View,ALABAMA,AL,,,2.128565347,2349,5
Lanett,ALABAMA,AL,32.8687,-85.1905,4.963971177,6245,31
Leeds,ALABAMA,AL,33.5482,-86.5444,2.320762536,12065,28
Leesburg,ALABAMA,AL,34.1798,-85.7614,2.938295788,1021,3
Leighton,ALABAMA,AL,34.7009,-87.5289,4.255319149,705,3
Level Plains,ALABAMA,AL,31.2996,-85.778,2.471576866,2023,5
Lexington,ALABAMA,AL,34.9693,-87.3711,1.400560224,714,1
Lincoln,ALABAMA,AL,33.6132,-86.1183,3.12267658,6725,21
Linden,ALABAMA,AL,32.3063,-87.7981,3.138075314,1912,6
Lineville,ALABAMA,AL,33.3107,-85.7544,5.788067676,2246,13
Lipscomb,ALABAMA,AL,33.4257,-86.9267,5.594405594,2145,12
Littleville,ALABAMA,AL,,,4.060913706,985,4
Livingston,ALABAMA,AL,32.5843,-88.1872,1.507386192,3317,5
Louisville,ALABAMA,AL,31.7835,-85.5558,6.493506494,462,3
Loxley,ALABAMA,AL,30.6182,-87.753,8.52965069,2462,21
Luverne,ALABAMA,AL,31.7165,-86.2638,4.698229129,2767,13
Madison,ALABAMA,AL,34.6993,-86.7483,2.253113118,49709,112
Maplesville,ALABAMA,AL,32.7885,-86.8717,8.547008547,702,6
Margaret,ALABAMA,AL,33.6862,-86.475,0.410677618,4870,2
Marion,ALABAMA,AL,32.6324,-87.3192,3.062787136,3265,10
McIntosh,ALABAMA,AL,31.26,-88.05,36.19909502,221,8
McKenzie,ALABAMA,AL,31.59,-86.84,6.036217304,497,3
Mentone,ALABAMA,AL,34.5795,-85.5905,2.7100271,369,1
Midfield,ALABAMA,AL,33.4615,-86.9089,4.153481013,5056,21
Midland City,ALABAMA,AL,31.3187,-85.4941,3.351487222,2387,8
Millbrook,ALABAMA,AL,32.4799,-86.3619,2.9201817,15410,45
Millport,ALABAMA,AL,33.5634,-88.0814,5.091649695,982,5
Millry,ALABAMA,AL,31.634,-88.3133,3.96039604,505,2
Mobile,ALABAMA,AL,30.6488,-88.1946,2.912720236,245475,715
Monroeville,ALABAMA,AL,31.5279,-87.3247,4.784688995,5852,28
Montevallo,ALABAMA,AL,33.1007,-86.8642,2.693401167,6683,18
Montgomery,ALABAMA,AL,32.367,-86.3006,2.849060213,198662,566
Moody,ALABAMA,AL,33.5909,-86.4908,1.522765342,13134,20
Morris,ALABAMA,AL,33.7482,-86.8086,3.019627579,1987,6
Moulton,ALABAMA,AL,34.4818,-87.2919,3.716320842,3229,12
Moundville,ALABAMA,AL,32.9976,-87.63,4.083299306,2449,10
Mount Vernon,ALABAMA,AL,31.0852,-88.0133,9.389671362,1491,14
Mountain Brook,ALABAMA,AL,33.5009,-86.7522,3.485004663,20373,71
Munford,ALABAMA,AL,33.5298,-85.9508,0.793021412,1261,1
Muscle Shoals,ALABAMA,AL,34.7452,-87.6687,3.04037333,14143,43
Napier Field,ALABAMA,AL,31.3155,-85.4541,17.64705882,340,6
New Hope,ALABAMA,AL,34.537,-86.3944,2.108222066,2846,6
New Site,ALABAMA,AL,,,2.649006623,755,2
Newton,ALABAMA,AL,31.3352,-85.6052,2.745367193,1457,4
Newville,ALABAMA,AL,31.4218,-85.3377,1.960784314,510,1
Northport,ALABAMA,AL,33.229,-87.5772,3.116002051,25353,79
Notasulga,ALABAMA,AL,32.5607,-85.6725,6.045949214,827,5
Oakman,ALABAMA,AL,33.7134,-87.3886,1.375515818,727,1
Odenville,ALABAMA,AL,33.6773,-86.3966,2.380322666,3781,9
Ohatchee,ALABAMA,AL,33.7834,-86.0025,6.914433881,1157,8
Oneonta,ALABAMA,AL,33.9482,-86.4728,3.611194704,6646,24
Opelika,ALABAMA,AL,32.6454,-85.3783,3.244435793,30822,100
Opp,ALABAMA,AL,31.2827,-86.2555,4.191895668,6441,27
Orange Beach,ALABAMA,AL,30.2944,-87.5736,12.75343362,6116,78
Owens Crossroads,ALABAMA,AL,34.5881,-86.4589,2.497502498,2002,5
Oxford,ALABAMA,AL,33.6149,-85.8339,3.498983403,21149,74
Ozark,ALABAMA,AL,31.4585,-85.6406,2.785903329,14358,40
Parrish,ALABAMA,AL,33.7307,-87.2844,3.198294243,938,3
Pelham,ALABAMA,AL,33.2857,-86.81,3.573680891,23785,85
Pell City,ALABAMA,AL,33.5862,-86.2861,3.401606716,13817,47
Phenix City,ALABAMA,AL,32.471,-85.0008,2.563543144,36668,94
Phil Campbell,ALABAMA,AL,34.3516,-87.7054,0.788022065,1269,1
Pickensville,ALABAMA,AL,33.2273,-88.2664,5.199306759,577,3
Piedmont,ALABAMA,AL,33.9245,-85.6114,3.709360681,4583,17
Pine Hill,ALABAMA,AL,31.9796,-87.5881,5.747126437,870,5
Pleasant Grove,ALABAMA,AL,33.4909,-86.9703,1.979218209,10105,20
Powell,ALABAMA,AL,,,1.035196687,966,1
Prattville,ALABAMA,AL,32.464,-86.4597,2.437179595,35697,87
Priceville,ALABAMA,AL,34.5251,-86.8947,1.391982183,3592,5
Prichard,ALABAMA,AL,30.7388,-88.0789,2.174415915,21615,47
Ragland,ALABAMA,AL,33.7445,-86.1558,2.955082742,1692,5
Rainbow City,ALABAMA,AL,33.9548,-86.0419,3.456945317,9546,33
Rainsville,ALABAMA,AL,34.4943,-85.8477,2.376237624,5050,12
Ranburne,ALABAMA,AL,33.5229,-85.3447,4.95049505,404,2
Red Bay,ALABAMA,AL,34.4409,-88.1432,4.227642276,3075,13
Reform,ALABAMA,AL,33.3785,-88.0153,3.170577045,1577,5
Repton,ALABAMA,AL,31.4091,-87.2391,7.547169811,265,2
Riverside,ALABAMA,AL,33.6062,-86.2044,1.300954033,2306,3
Roanoke,ALABAMA,AL,33.1512,-85.3722,4.903618532,5914,29
Robertsdale,ALABAMA,AL,30.5538,-87.7119,4.662379421,6220,29
Rogersville,ALABAMA,AL,34.8256,-87.2947,4.078303426,1226,5
Russellville,ALABAMA,AL,34.5067,-87.7294,2.79040926,9676,27
Samson,ALABAMA,AL,31.113,-86.0461,3.723404255,1880,7
Saraland,ALABAMA,AL,30.8207,-88.0706,3.876496192,14704,57
Sardis City,ALABAMA,AL,34.1743,-86.1228,2.21116639,1809,4
Satsuma,ALABAMA,AL,30.8532,-88.0561,2.600357549,6153,16
Scottsboro,ALABAMA,AL,34.6731,-86.0339,4.915876203,14443,71
Selma,ALABAMA,AL,32.4079,-87.0207,2.382403457,18049,43
Shorter,ALABAMA,AL,32.3949,-85.9169,22.00488998,409,9
Silverhill,ALABAMA,AL,30.5455,-87.7517,4.362050164,917,4
Sipsey,ALABAMA,AL,33.8248,-87.0861,4.854368932,412,2
Skyline,ALABAMA,AL,34.814,-86.1153,1.215066829,823,1
Slocomb,ALABAMA,AL,31.1082,-85.5944,3.131524008,1916,6
Snead,ALABAMA,AL,34.1195,-86.3955,16.64684899,841,14
Somerville,ALABAMA,AL,34.4731,-86.7986,6.915629322,723,5
Southside,ALABAMA,AL,33.9245,-86.0225,2.051515842,8774,18
Spanish Fort,ALABAMA,AL,30.6749,-87.9153,2.913818223,8923,26
Springville,ALABAMA,AL,33.7751,-86.4717,2.583979328,4257,11
St. Florian,ALABAMA,AL,34.8734,-87.6234,4.594180704,653,3
Steele,ALABAMA,AL,33.9398,-86.2016,7.448789572,1074,8
Stevenson,ALABAMA,AL,34.8687,-85.8394,3.076923077,1950,6
Sulligent,ALABAMA,AL,33.9018,-88.1345,2.72479564,1835,5
Sumiton,ALABAMA,AL,33.7557,-87.05,6.814310051,2348,16
Summerdale,ALABAMA,AL,30.4877,-87.6997,4.771642808,1467,7
Sylacauga,ALABAMA,AL,33.1732,-86.2516,5.908419498,12186,72
Sylvania,ALABAMA,AL,34.5623,-85.8125,1.592356688,1884,3
Talladega,ALABAMA,AL,33.4359,-86.1058,2.607391956,15341,40
Tallassee,ALABAMA,AL,32.536,-85.8933,5.591397849,4650,26
Tarrant,ALABAMA,AL,33.5957,-86.7569,3.886639676,6175,24
Taylor,ALABAMA,AL,31.1649,-85.4683,1.667361401,2399,4
Thomaston,ALABAMA,AL,32.2665,-87.6253,2.617801047,382,1
Thomasville,ALABAMA,AL,31.9135,-87.7358,6.39549757,3909,25
Thorsby,ALABAMA,AL,32.9157,-86.7158,2.911208151,2061,6
Town Creek,ALABAMA,AL,34.6812,-87.4061,2.873563218,1044,3
Trafford,ALABAMA,AL,33.8182,-86.7428,7.961783439,628,5
Triana,ALABAMA,AL,34.5862,-86.7333,1.838235294,544,1
Trinity,ALABAMA,AL,34.6068,-87.0883,3.695150115,2165,8
Troy,ALABAMA,AL,31.8088,-85.97,4.018998904,19159,77
Tuscaloosa,ALABAMA,AL,33.2096,-87.5675,3.429503557,101764,349
Tuscumbia,ALABAMA,AL,34.7312,-87.7025,3.345280765,8370,28
Tuskegee,ALABAMA,AL,32.424,-85.6916,3.224650663,8373,27
Union Springs,ALABAMA,AL,32.1443,-85.7149,5.413105413,3510,19
Uniontown,ALABAMA,AL,32.45,-87.48,3.08234258,2271,7
Valley,ALABAMA,AL,32.8187,-85.1794,3.46695558,9230,32
Valley Head,ALABAMA,AL,34.569,-85.615,3.64298725,549,2
Vance,ALABAMA,AL,33.1743,-87.2336,3.07503075,1626,5
Vernon,ALABAMA,AL,33.7571,-88.1089,4.298764105,1861,8
Vestavia Hills,ALABAMA,AL,33.4487,-86.7878,2.764199255,34368,95
Wadley,ALABAMA,AL,33.1215,-85.5663,1.408450704,710,1
Warrior,ALABAMA,AL,33.8143,-86.8094,5.913476502,3213,19
Weaver,ALABAMA,AL,33.752,-85.8114,3.586566678,3067,11
Wedowee,ALABAMA,AL,33.309,-85.4847,11.30653266,796,9
West Blocton,ALABAMA,AL,33.1182,-87.125,1.598721023,1251,2
Wetumpka,ALABAMA,AL,32.5437,-86.2119,3.819983288,8377,32
White Hall,ALABAMA,AL,32.3271,-86.7119,3.911342894,767,3
Winfield,ALABAMA,AL,33.929,-87.8172,2.702094123,4441,12
Woodstock,ALABAMA,AL,33.2068,-87.15,2.467612585,1621,4
York,ALABAMA,AL,32.4862,-88.2964,1.781737194,2245,4
Anchorage,ALASKA,AK,61.2163,-149.8949,1.965807282,291992,574
Bethel,ALASKA,AK,60.7922,-161.7558,3.379935474,6509,22
Bristol Bay Borough,ALASKA,AK,,,9.489916963,843,8
Cordova,ALASKA,AK,60.5428,-145.7575,5.048187242,2179,11
Craig,ALASKA,AK,55.4764,-133.1483,7.782101167,1285,10
Dillingham,ALASKA,AK,59.0397,-158.4575,8.033826638,2365,19
Fairbanks,ALASKA,AK,64.8378,-147.7164,1.359253991,31635,43
Haines,ALASKA,AK,59.2358,-135.445,3.987240829,2508,10
Homer,ALASKA,AK,59.6441,-151.5401,3.622563395,5797,21
Hoonah,ALASKA,AK,58.1097,-135.4435,10.28277635,778,8
Juneau,ALASKA,AK,58.3019,-134.4197,2.380803208,31922,76
Kenai,ALASKA,AK,60.5544,-151.2583,3.042596349,7888,24
Ketchikan,ALASKA,AK,55.3431,-131.6467,4.21686747,8300,35
Klawock,ALASKA,AK,55.5524,-133.0971,3.610108303,831,3
Kodiak,ALASKA,AK,57.79,-152.4072,6.839032527,5995,41
Kotzebue,ALASKA,AK,66.8982,-162.5978,4.582951421,3273,15
Nome,ALASKA,AK,64.5011,-165.4064,3.355704698,3874,13
North Pole,ALASKA,AK,64.7509,-147.3493,6.679389313,2096,14
North Slope Borough,ALASKA,AK,,,7.184645386,9743,70
Palmer,ALASKA,AK,61.5995,-149.1135,3.377009321,7403,25
Petersburg,ALASKA,AK,56.8128,-132.9555,3.678724709,3262,12
Sand Point,ALASKA,AK,55.3409,-160.4976,5.509641873,1089,6
Seldovia,ALASKA,AK,59.4388,-151.712,3.584229391,279,1
Seward,ALASKA,AK,60.1042,-149.4426,7.368421053,2850,21
Sitka,ALASKA,AK,57.0525,-135.3376,2.911038659,8588,25
Skagway,ALASKA,AK,59.6226,-135.4094,9.345794393,1177,11
Soldotna,ALASKA,AK,60.4869,-151.0572,3.381948848,4731,16
St. Paul,ALASKA,AK,,,17.71653543,508,9
Unalaska,ALASKA,AK,53.8723,-166.5272,4.83941927,4546,22
Valdez,ALASKA,AK,61.1299,-146.3494,3.120936281,3845,12
Wasilla,ALASKA,AK,61.5828,-149.4381,5.512260027,10522,58
Whittier,ALASKA,AK,60.7731,-148.6839,38.83495146,206,8
Wrangell,ALASKA,AK,56.2046,-132.0433,4.760015867,2521,12
Apache Junction,ARIZONA,AZ,33.415,-111.5495,2.133591951,41245,88
Avondale,ARIZONA,AZ,33.4359,-112.3405,2.171259565,85204,185
Benson,ARIZONA,AZ,31.9679,-110.2946,4.579517069,4804,22
Bisbee,ARIZONA,AZ,31.4481,-109.9284,3.700097371,5135,19
Buckeye,ARIZONA,AZ,33.3703,-112.5839,1.7527132,71318,125
Bullhead City,ARIZONA,AZ,35.1478,-114.5683,2.725875997,40354,110
Camp Verde,ARIZONA,AZ,34.5636,-111.8543,2.844697306,11249,32
Casa Grande,ARIZONA,AZ,32.8794,-111.7576,1.805980984,56479,102
Chandler,ARIZONA,AZ,33.3067,-111.8408,1.929793036,255986,494
Chino Valley,ARIZONA,AZ,34.7575,-112.4538,2.533783784,11840,30
Clarkdale,ARIZONA,AZ,34.7711,-112.0579,2.289901534,4367,10
Clifton,ARIZONA,AZ,33.06,-109.32,3.205984504,3743,12
Colorado City,ARIZONA,AZ,36.9903,-112.9758,2.479851209,4839,12
Coolidge,ARIZONA,AZ,32.9778,-111.5176,3.043308623,12815,39
Cottonwood,ARIZONA,AZ,34.7392,-112.0099,4.52823975,12146,55
Douglas,ARIZONA,AZ,31.3446,-109.5453,2.755165936,15970,44
Eagar,ARIZONA,AZ,34.1112,-109.2915,1.640689089,4876,8
El Mirage,ARIZONA,AZ,33.613,-112.3245,1.791061484,35733,64
Eloy,ARIZONA,AZ,32.7557,-111.555,2.097293979,19549,41
Flagstaff,ARIZONA,AZ,35.1995,-111.6514,2.168780541,72852,158
Florence,ARIZONA,AZ,33.0315,-111.3873,1.539231154,25987,40
Fredonia,ARIZONA,AZ,36.9455,-112.5266,2.307692308,1300,3
Gilbert,ARIZONA,AZ,33.3528,-111.789,1.559829146,247463,386
Glendale,ARIZONA,AZ,33.539,-112.1858,2.245805628,249799,561
Globe,ARIZONA,AZ,33.396,-110.7872,2.182810368,7330,16
Goodyear,ARIZONA,AZ,33.4356,-112.3579,1.801385119,82159,148
Hayden,ARIZONA,AZ,33.0048,-110.7854,8.24742268,970,8
Holbrook,ARIZONA,AZ,34.9037,-110.1593,2.773375594,5048,14
Huachuca City,ARIZONA,AZ,31.6279,-110.334,5.260081823,1711,9
Kearny,ARIZONA,AZ,33.057,-110.9107,4.725897921,2116,10
Kingman,ARIZONA,AZ,35.1894,-114.053,2.359364994,29669,70
Lake Havasu City,ARIZONA,AZ,34.4839,-114.3225,2.011778046,54678,110
Mammoth,ARIZONA,AZ,32.7226,-110.6407,2.4600246,1626,4
Marana,ARIZONA,AZ,32.4447,-111.2157,2.583589898,46447,120
Maricopa,ARIZONA,AZ,33.0572,-112.0483,1.808466913,48660,88
Mesa,ARIZONA,AZ,33.4153,-111.8313,2.380796755,504873,1202
Miami,ARIZONA,AZ,33.3995,-110.8709,5.66893424,1764,10
Nogales,ARIZONA,AZ,31.3402,-110.9361,3.254393431,19973,65
Oro Valley,ARIZONA,AZ,32.3909,-110.9665,2.832039961,44844,127
Page,ARIZONA,AZ,,,4.355860612,7576,33
Paradise Valley,ARIZONA,AZ,33.5311,-111.9426,2.892761209,14519,42
Parker,ARIZONA,AZ,34.15,-114.2891,4.575163399,3060,14
Payson,ARIZONA,AZ,34.2309,-111.3251,2.765451154,15549,43
Peoria,ARIZONA,AZ,33.5766,-112.2398,1.633593259,170177,278
Phoenix,ARIZONA,AZ,33.4486,-112.0773,2.360442326,1653080,3902
Pima,ARIZONA,AZ,32.8962,-109.8276,2.368732728,2533,6
Pinetop-Lakeside,ARIZONA,AZ,34.1425,-109.9604,3.88927019,4371,17
Prescott,ARIZONA,AZ,34.5403,-112.4695,1.876216066,43172,81
Prescott Valley,ARIZONA,AZ,34.61,-112.3157,2.117475792,45337,96
Quartzsite,ARIZONA,AZ,33.6639,-114.2299,3.247631935,3695,12
Safford,ARIZONA,AZ,32.834,-109.7076,2.485243865,9657,24
Sahuarita,ARIZONA,AZ,31.9576,-110.9556,1.672464544,29896,50
San Luis,ARIZONA,AZ,,,1.632702425,33074,54
Scottsdale,ARIZONA,AZ,33.5091,-111.8992,2.384678441,254961,608
Sedona,ARIZONA,AZ,34.8658,-111.793,3.372193853,10379,35
Show Low,ARIZONA,AZ,34.2542,-110.0298,3.495876658,11156,39
Sierra Vista,ARIZONA,AZ,31.5545,-110.3037,2.020012214,42574,86
Snowflake-Taylor,ARIZONA,AZ,,,2.106107712,9971,21
Somerton,ARIZONA,AZ,32.5964,-114.7097,1.648351648,16380,27
