,State,Code,Name,County,Violent,Murder,Rape,Robbery,Aggravated_Assault,Property,Burglary,Larceny,MotorVehicle,Arson,Total,pop_est,normalized
261,SOUTH CAROLINA,SC,Calhoun,Calhoun County,59,1,14,4,40,297,76,180,41,1,713,14553,48.99333471
263,ALABAMA,AL,Calhoun,Calhoun County,14,0,5,7,2,144,49,95,0,0,316,113605,2.781567713
260,ARKANSAS,AR,Calhoun,Calhoun County,3,0,0,0,3,50,7,38,5,0,106,5189,20.4278281
256,WEST VIRGINIA,WV,Calhoun,Calhoun County,0,0,0,0,0,10,2,7,1,1,21,7109,2.954001969
258,GEORGIA,GA,Calhoun,Calhoun County,1,0,0,0,1,5,3,2,0,0,12,6189,1.938923897
257,FLORIDA,FL,Calhoun,Calhoun County,17,2,0,0,15,71,26,39,6,0,176,14105,12.47784474
259,MICHIGAN,MI,Calhoun,Calhoun County,122,0,30,3,89,636,188,417,31,3,1519,134159,11.32238612
264,TEXAS,TX,Callahan,Callahan County,8,0,1,1,6,37,15,16,6,0,90,13943,6.454851897
265,MISSOURI,MO,Callaway,Callaway County,68,1,17,4,46,381,100,241,40,,898,44743,20.07017858
266,KENTUCKY,KY,Calloway,Calloway County,14,1,8,0,5,245,105,114,26,1,519,39001,13.30735109
267,WISCONSIN,WI,Calumet,Calumet County,9,2,4,0,3,49,9,35,5,1,117,50089,2.335842201
268,MARYLAND,MD,Calvert,Calvert County,94,1,12,16,65,830,135,651,44,1,1849,92525,19.98378817
269,IDAHO,ID,Camas,Camas County,1,0,0,0,1,8,0,8,0,0,18,1106,16.27486438
270,MISSOURI,MO,Camden,Camden County,87,1,33,0,53,487,156,292,39,2,1150,46305,24.83533096
271,NEW JERSEY,NJ,Camden,Camden County,6,0,0,0,6,37,0,35,2,0,86,506471,0.169802417
272,TEXAS,TX,Cameron,Cameron County,164,1,51,15,97,937,324,564,49,2,2204,423163,5.208394874
273,TEXAS,TX,Camp,Camp County,2,0,0,0,2,74,28,35,11,0,152,13094,11.60837025
279,TENNESSEE,TN,Campbell,Campbell County,48,0,13,1,34,367,178,153,36,5,835,39842,20.95778324
278,KENTUCKY,KY,Campbell,Campbell County,1,0,0,0,1,0,0,0,0,0,2,93584,0.021371175
277,KENTUCKY,KY,Campbell,Campbell County,20,0,11,1,8,141,35,93,13,0,322,93584,3.440759104
276,SOUTH DAKOTA,SD,Campbell,Campbell County,1,0,0,0,1,2,1,0,1,0,6,1376,4.360465116
274,WYOMING,WY,Campbell,Campbell County,90,0,13,0,77,99,26,62,11,1,379,46341,8.178502838
275,VIRGINIA,VA,Campbell,Campbell County,77,3,18,7,49,715,127,504,84,8,1592,54885,29.00610367
280,OKLAHOMA,OK,Canadian,Canadian County,8,0,3,1,4,164,32,108,24,2,346,148306,2.333014173
281,GEORGIA,GA,Candler,Candler County,9,0,3,1,5,100,28,70,2,0,218,10803,20.17957975
282,TENNESSEE,TN,Cannon,Cannon County,20,0,0,0,20,85,38,29,18,1,211,14678,14.37525548
283,IDAHO,ID,Canyon,Canyon County,116,1,26,3,86,511,176,251,84,4,1258,229849,5.473158465
284,MISSOURI,MO,Cape Girardeau,Cape Girardeau County,30,2,2,3,23,248,83,139,26,1,557,78871,7.062164801
285,NEW JERSEY,NJ,Cape May,Cape May County,1,0,0,0,1,1,0,1,0,0,4,92039,0.043459838
286,UTAH,UT,Carbon,Carbon County,5,0,3,1,1,103,29,69,5,0,216,20463,10.555637
287,MONTANA,MT,Carbon,Carbon County,24,1,5,1,17,56,7,43,6,0,160,10725,14.91841492
288,WYOMING,WY,Carbon,Carbon County,6,0,1,0,5,17,1,15,1,0,46,14800,3.108108108
289,IDAHO,ID,Caribou,Caribou County,2,0,0,0,2,4,1,3,0,0,12,7155,1.677148847
290,KENTUCKY,KY,Carlisle,Carlisle County,1,0,0,0,1,15,8,5,2,0,32,4760,6.722689076
291,MINNESOTA,MN,Carlton,Carlton County,15,1,6,0,8,147,46,89,12,0,324,35871,9.032365978
293,MARYLAND,MD,Caroline,Caroline County,14,0,6,5,3,171,37,126,8,,370,33406,11.07585464
292,VIRGINIA,VA,Caroline,Caroline County,18,0,12,2,4,233,38,195,0,1,503,30725,16.37103336
294,VIRGINIA,VA,Carroll,Carroll County,21,0,4,1,16,227,62,143,22,0,496,29791,16.64932362
301,KENTUCKY,KY,Carroll,Carroll County,2,0,0,0,2,6,2,3,1,0,16,10631,1.505032452
300,GEORGIA,GA,Carroll,Carroll County,167,0,24,9,134,"1,289",390,755,144,4,2916,119992,24.30162011
299,ILLINOIS,IL,Carroll,Carroll County,7,0,0,0,7,27,13,14,0,0,68,14305,4.753582663
302,TENNESSEE,TN,Carroll,Carroll County,27,1,1,1,24,188,77,85,26,1,431,27767,15.52202254
297,ARKANSAS,AR,Carroll,Carroll County,41,1,1,0,39,213,64,116,33,4,512,28380,18.04087385
296,MARYLAND,MD,Carroll,Carroll County,119,1,33,11,74,708,99,565,44,0,1654,168447,9.819112243
295,MISSOURI,MO,Carroll,Carroll County,4,0,1,0,3,32,22,8,2,0,72,8679,8.295886623
298,NEW HAMPSHIRE,NH,Carroll,Carroll County,3,0,0,0,3,32,7,24,1,0,70,48910,1.431200164
303,NEVADA,NV,Carson City,Carson City County,198,1,43,13,141,737,157,507,73,8,1878,55916,33.58609343
304,TEXAS,TX,Carson,Carson County,11,0,2,0,9,36,11,20,5,0,94,5926,15.86230172
309,TENNESSEE,TN,Carter,Carter County,62,1,2,3,56,519,109,375,35,3,1165,56391,20.65932507
305,MISSOURI,MO,Carter,Carter County,22,1,1,0,20,101,36,56,9,,246,5982,41.12337011
306,OKLAHOMA,OK,Carter,Carter County,10,0,2,0,8,146,35,101,10,0,312,48111,6.48500343
307,MONTANA,MT,Carter,Carter County,0,0,0,0,0,0,0,0,0,0,0,1252,0
308,KENTUCKY,KY,Carter,Carter County,6,0,1,1,4,71,25,24,22,0,154,26797,5.746911968
310,MINNESOTA,MN,Carver,Carver County,50,0,26,6,18,515,75,411,29,5,1135,105089,10.80036921
311,MONTANA,MT,Cascade,Cascade County,51,0,4,0,47,293,60,196,37,2,690,81366,8.480200575
312,KENTUCKY,KY,Casey,Casey County,3,0,0,2,1,23,9,10,4,0,52,16159,3.218020917
313,MISSOURI,MO,Cass,Cass County,35,2,5,0,28,376,128,209,39,0,822,105780,7.77084515
314,TEXAS,TX,Cass5,Cass County,39,0,4,3,32,208,93,85,30,3,497,30026,16.55232132
315,ILLINOIS,IL,Cass,Cass County,4,0,0,2,2,4,1,3,0,0,16,12147,1.317197662
316,NORTH DAKOTA,ND,Cass,Cass County,18,0,8,1,9,138,53,69,16,0,312,181923,1.715011296
317,MINNESOTA,MN,Cass,Cass County,55,3,30,0,22,632,112,456,64,2,1376,29779,46.20705867
318,NEBRASKA,NE,Cass,Cass County,17,2,7,0,8,159,20,124,15,0,352,26248,13.41054557
319,TEXAS,TX,Castro5,Castro County,2,1,0,0,1,20,7,11,2,0,44,7530,5.843293493
320,LOUISIANA,LA,Catahoula,Catahoula County,40,0,3,0,37,108,43,63,2,0,296,9494,31.17758584
321,NORTH CAROLINA,NC,Catawba,Catawba County,,2,,15,81,"1,112",362,645,105,7,2329,159551,14.59721343
322,NEW MEXICO,NM,Catron,Catron County,5,0,1,0,4,14,7,6,1,,38,3527,10.77402892
323,NEW YORK,NY,Cattaraugus,Cattaraugus County,33,2,10,1,20,254,55,184,15,7,581,76117,7.632986061
324,NORTH DAKOTA,ND,Cavalier,Cavalier County,2,0,1,0,1,21,5,8,8,2,48,3762,12.75917065
325,NEW YORK,NY,Cayuga,Cayuga County,11,0,2,1,8,168,30,135,3,1,359,76576,4.688152946
326,MARYLAND,MD,Cecil,Cecil County,74,2,15,22,35,439,117,292,30,4,1030,102855,10.01409752
327,MISSOURI,MO,Cedar,Cedar County,24,1,6,0,17,78,20,58,0,1,205,14349,14.28670988
328,NEBRASKA,NE,Cedar,Cedar County,1,0,0,0,1,6,0,6,0,,14,8402,1.666269936
329,PENNSYLVANIA,PA,Centre,Centre County,0,0,0,0,0,0,0,0,0,0,0,162385,0
330,COLORADO,CO,Chaffee,Chaffee County,11,0,2,0,9,60,18,35,7,0,142,20356,6.975830222
331,ALABAMA,AL,Chambers,Chambers County,0,0,0,0,0,70,29,39,2,0,140,33254,4.210019847
332,ILLINOIS,IL,Champaign,Champaign County,106,0,29,3,74,370,105,239,26,4,956,209689,4.559132811
333,OHIO,OH,Champaign,Champaign County,21,0,6,0,15,167,48,112,7,2,378,38885,9.720972097
334,VIRGINIA,VA,Charles City,Charles City County,9,0,4,0,5,41,6,23,12,2,102,6963,14.64885825
335,MARYLAND,MD,Charles,Charles County,610,11,48,111,440,"2,191",223,"1,808",160,22,5624,163257,34.44875258
336,SOUTH DAKOTA,SD,Charles Mix,Charles Mix County,14,0,0,0,14,39,12,22,5,0,106,9292,11.40766251
337,MICHIGAN,MI,Charlevoix,Charlevoix County,18,0,6,0,12,78,22,52,4,0,192,26143,7.344222163
339,FLORIDA,FL,Charlotte,Charlotte County,350,2,31,17,300,"1,763",227,"1,434",102,6,4232,188910,22.40220211
338,VIRGINIA,VA,Charlotte,Charlotte County,18,1,4,0,13,116,30,76,10,0,268,11880,22.55892256
340,GEORGIA,GA,Charlton,Charlton County,21,4,0,0,17,119,52,51,16,0,280,13392,20.90800478
341,NEBRASKA,NE,Chase,Chase County,0,0,0,0,0,8,0,5,3,,16,3924,4.077471967
342,NORTH CAROLINA,NC,Chatham,Chatham County,,1,,5,61,552,239,288,25,2,1173,74470,15.75130925
343,GEORGIA,GA,Chattooga,Chattooga County,5,0,1,0,4,86,14,70,2,0,182,24789,7.341966195
344,NEW MEXICO,NM,Chaves,Chaves County,45,4,10,3,28,209,102,73,34,,508,64615,7.861951559
345,TENNESSEE,TN,Cheatham,Cheatham County,108,0,5,4,99,332,52,230,50,5,885,40667,21.7621167
346,MICHIGAN,MI,Cheboygan,Cheboygan County,20,0,13,0,7,37,10,26,1,1,115,25276,4.549770533
347,WASHINGTON,WA,Chelan,Chelan County,44,0,6,1,37,438,132,266,40,1,965,77200,12.5
348,NEW YORK,NY,Chemung,Chemung County,10,0,3,3,4,244,31,211,2,1,509,83456,6.099022239
349,NEW YORK,NY,Chenango,Chenango County,15,0,6,1,8,269,56,208,5,0,568,47207,12.03211388
350,ALABAMA,AL,Cherokee,Cherokee County,65,0,11,1,53,295,101,160,34,0,720,26196,27.48511223
351,TEXAS,TX,Cherokee5,Cherokee County,85,1,10,2,72,418,143,229,46,1,1007,52646,19.12775899
352,GEORGIA,GA,Cherokee,Cherokee County,97,0,12,13,72,"1,307",201,"1,006",100,0,2808,258773,10.85120936
353,KANSAS,KS,Cherokee,Cherokee County,29,0,6,0,23,153,63,73,17,5,369,19939,18.50644466
354,OKLAHOMA,OK,Cherokee,Cherokee County,70,2,11,5,52,475,151,241,83,7,1097,48657,22.54557412
355,NEBRASKA,NE,Cherry,Cherry County,5,0,0,0,5,7,0,5,2,,24,5689,4.218667604
356,NEW HAMPSHIRE,NH,Cheshire,Cheshire County,0,0,0,0,0,9,1,8,0,0,18,76085,0.236577512
359,SOUTH CAROLINA,SC,Chester,Chester County,111,1,5,10,95,574,140,397,37,1,1371,32244,42.51953852
357,TENNESSEE,TN,Chester,Chester County,11,0,4,0,7,44,12,30,2,0,110,17297,6.359484304
358,PENNSYLVANIA,PA,Chester,Chester County,0,0,0,0,0,3,0,3,0,0,6,524989,0.011428811
360,VIRGINIA,VA,Chesterfield,Chesterfield County,437,4,106,140,187,"5,645",792,"4,509",344,33,12197,352802,34.57179948
361,KANSAS,KS,Cheyenne,Cheyenne County,4,0,2,0,2,26,7,17,2,0,60,2657,22.58185924
362,COLORADO,CO,Cheyenne,Cheyenne County,0,0,0,0,0,1,0,1,0,0,2,1831,1.09229929
363,NEBRASKA,NE,Cheyenne,Cheyenne County,2,1,0,0,1,16,3,9,4,0,36,8910,4.04040404
364,ARKANSAS,AR,Chicot,Chicot County,4,0,0,0,4,96,34,62,0,0,200,10118,19.76675232
365,TEXAS,TX,Childress,Childress County,0,0,0,0,0,10,6,3,1,0,20,7306,2.737476047
368,MICHIGAN,MI,Chippewa,Chippewa County,7,0,1,0,6,29,11,17,1,0,72,37349,1.927762457
366,WISCONSIN,WI,Chippewa,Chippewa County,30,1,14,0,15,263,46,196,21,1,587,64658,9.078536299
367,MINNESOTA,MN,Chippewa,Chippewa County,0,0,0,0,0,0,0,0,0,0,0,11800,0
369,MINNESOTA,MN,Chisago,Chisago County,3,0,0,1,2,82,11,64,7,0,170,56579,3.004648368
370,OKLAHOMA,OK,Choctaw,Choctaw County,50,0,0,0,50,106,46,44,16,6,318,14672,21.67393675
371,MONTANA,MT,Chouteau,Chouteau County,1,0,1,0,0,3,2,1,0,1,9,5635,1.597160603
372,NORTH CAROLINA,NC,Chowan,Chowan County,,1,,0,16,131,52,72,7,0,279,13943,20.01004088
373,KENTUCKY,KY,Christian,Christian County,23,1,5,2,15,325,114,172,39,1,697,70461,9.891996991
374,MISSOURI,MO,Christian,Christian County,64,0,6,5,53,230,72,146,12,1,589,88595,6.648230713
375,NEVADA,NV,Churchill,Churchill County,30,0,7,1,22,160,53,91,16,4,384,24909,15.41611466
376,NEW MEXICO,NM,Cibola,Cibola County,18,1,3,0,14,41,10,21,10,,118,26675,4.423617619
377,FLORIDA,FL,Citrus,Citrus County,345,2,19,42,282,"2,102",369,"1,504",229,8,4902,149657,32.75489954
378,OREGON,OR,Clackamas,Clackamas County,423,4,127,86,206,"5,423",735,"3,949",739,20,11712,418187,28.00660948
379,MISSISSIPPI,MS,Claiborne,Claiborne County,19,1,1,6,11,75,43,21,11,0,188,8988,20.91677793
380,TENNESSEE,TN,Claiborne,Claiborne County,49,0,5,3,41,321,97,171,53,1,741,31959,23.18595701
381,LOUISIANA,LA,Claiborne,Claiborne County,8,0,1,2,5,102,25,71,6,0,220,15670,14.03956605
382,WASHINGTON,WA,Clallam,Clallam County,72,3,19,7,43,573,194,351,28,2,1292,77331,16.70740065
383,MICHIGAN,MI,Clare,Clare County,71,0,21,0,50,256,93,146,17,1,655,30950,21.1631664
384,SOUTH CAROLINA,SC,Clarendon,Clarendon County,122,3,12,8,99,743,209,472,62,2,1732,33745,51.32612239
385,PENNSYLVANIA,PA,Clarion,Clarion County,0,0,0,0,0,1,0,1,0,0,2,38438,0.052031843
392,WISCONSIN,WI,Clark,Clark County,6,3,0,0,3,99,23,60,16,1,211,34774,6.067751769
393,ARKANSAS,AR,Clark,Clark County,39,0,4,0,35,46,17,26,3,0,170,22320,7.616487455
394,KENTUCKY,KY,Clark,Clark County,10,0,3,2,5,158,68,73,17,0,336,36263,9.265642666
391,KANSAS,KS,Clark,Clark County,3,0,0,0,3,11,2,7,2,1,29,1994,14.54363089
386,ILLINOIS,IL,Clark,Clark County,6,0,1,0,5,37,19,16,2,0,86,15441,5.569587462
389,INDIANA,IN,Clark,Clark County,105,0,6,13,86,386,103,231,52,,982,118302,8.300789505
388,OHIO,OH,Clark,Clark County,38,0,4,9,25,630,148,470,12,1,1337,134083,9.971435603
387,MISSOURI,MO,Clark,Clark County,6,0,1,1,4,67,23,38,6,0,146,6797,21.48006473
390,SOUTH DAKOTA,SD,Clark,Clark County,1,0,0,0,1,2,0,2,0,0,6,3736,1.605995717
395,ALABAMA,AL,Clarke,Clarke County,18,0,8,1,9,49,25,16,8,0,134,23622,5.672678012
396,VIRGINIA,VA,Clarke,Clarke County,9,0,2,5,2,57,8,48,1,0,132,14619,9.029345372
397,OREGON,OR,Clatsop,Clatsop County,33,1,11,0,21,165,38,114,13,1,397,40224,9.869729515
406,KENTUCKY,KY,Clay,Clay County,4,0,0,0,4,81,22,26,33,2,172,19901,8.64278177
407,TENNESSEE,TN,Clay,Clay County,13,0,2,0,11,27,10,13,4,0,80,7615,10.50558109
403,SOUTH DAKOTA,SD,Clay,Clay County,6,0,4,0,2,39,6,29,4,0,90,14070,6.396588486
409,TEXAS,TX,Clay,Clay County,25,0,9,5,11,124,65,40,19,3,301,10471,28.74606055
410,NORTH CAROLINA,NC,Clay,Clay County,,0,,1,15,258,101,142,15,2,534,11231,47.54696821
408,FLORIDA,FL,Clay,Clay County,574,2,94,87,391,"3,115",594,"2,295",226,14,7392,219252,33.71462974
405,ILLINOIS,IL,Clay,Clay County,3,1,0,0,2,52,21,26,5,0,110,13184,8.343446602
401,MINNESOTA,MN,Clay,Clay County,8,1,1,1,5,57,25,23,9,0,130,64222,2.024228458
402,KANSAS,KS,Clay,Clay County,3,0,1,0,2,14,6,8,0,0,34,8002,4.248937766
404,MISSOURI,MO,Clay,Clay County,41,0,3,5,33,212,59,123,30,1,507,249948,2.028421912
400,GEORGIA,GA,Clay,Clay County,10,0,1,0,9,16,1,14,1,0,52,2834,18.34862385
399,ALABAMA,AL,Clay,Clay County,1,0,0,0,1,65,32,32,1,0,132,13235,9.973554968
398,ARKANSAS,AR,Clay,Clay County,7,0,3,0,4,53,16,34,3,0,120,14551,8.246855886
411,GEORGIA,GA,Clayton,Clayton County,14,0,0,0,14,5,0,4,1,0,38,292256,0.130022994
412,GEORGIA,GA,Clayton,Clayton County,"1,388",37,182,465,704,"8,263","1,979","5,064","1,220",24,19326,292256,66.12695719
413,COLORADO,CO,Clear Creek,Clear Creek County,24,0,4,0,20,56,11,37,8,8,168,9700,17.31958763
414,MINNESOTA,MN,Clearwater,Clearwater County,15,0,7,0,8,66,22,31,13,2,164,8818,18.59832161
415,ARKANSAS,AR,Cleburne,Cleburne County,122,3,8,2,109,302,94,189,19,5,853,24919,34.23090814
416,ALABAMA,AL,Cleburne,Cleburne County,8,0,2,1,5,144,43,90,11,0,304,14910,20.38900067
417,OHIO,OH,Clermont,Clermont County,103,0,25,8,70,948,214,671,63,2,2104,206428,10.19241576
418,OKLAHOMA,OK,Cleveland,Cleveland County,44,0,12,2,30,259,92,126,41,2,608,284014,2.140739541
419,ARKANSAS,AR,Cleveland,Cleveland County,16,2,4,0,10,83,45,37,1,1,199,7956,25.01256913
420,GEORGIA,GA,Clinch,Clinch County,10,1,1,0,8,63,29,27,7,0,146,6618,22.06104563
421,NEW YORK,NY,Clinton,Clinton County,13,0,0,0,13,27,1,25,1,0,80,80485,0.993974032
422,ILLINOIS,IL,Clinton,Clinton County,10,0,1,0,9,38,12,15,11,0,96,37562,2.555774453
423,OHIO,OH,Clinton,Clinton County,14,0,5,0,9,112,37,63,12,1,253,41968,6.028402592
424,MISSOURI,MO,Clinton,Clinton County,16,0,0,2,14,77,29,45,3,3,189,20387,9.270613626
425,MICHIGAN,MI,Clinton,Clinton County,21,0,9,1,11,117,42,65,10,0,276,79595,3.467554495
426,INDIANA,IN,Clinton,Clinton County,9,0,4,3,2,163,43,105,15,1,345,32399,10.6484768
427,KENTUCKY,KY,Clinton,Clinton County,3,0,0,0,3,17,3,6,8,0,40,10218,3.914660403
428,KANSAS,KS,Cloud,Cloud County,3,0,2,0,1,49,20,21,8,2,106,8786,12.0646483
429,OKLAHOMA,OK,Coal,Coal County,3,0,1,0,2,41,12,27,2,0,88,5495,16.01455869
430,GEORGIA,GA,Cobb,Cobb County,"1,136",8,126,372,630,"9,693","1,387","7,442",864,29,21687,760141,28.53023321
431,GEORGIA,GA,Cobb,Cobb County,2,0,0,0,2,25,0,25,0,0,54,760141,0.071039452
432,ARIZONA,AZ,Cochise,Cochise County,50,0,3,5,42,539,180,284,75,2,1180,125922,9.370880386
433,TENNESSEE,TN,Cocke,Cocke County,81,0,7,0,74,436,146,201,89,3,1037,36004,28.80235529
434,ARIZONA,AZ,Coconino,Coconino County,110,2,15,1,92,295,86,194,15,19,829,143476,5.777969835
435,SOUTH DAKOTA,SD,Codington,Codington County,16,1,4,0,11,25,4,17,4,0,82,28009,2.927630405
437,GEORGIA,GA,Coffee,Coffee County,93,1,10,4,78,563,165,320,78,3,1315,43273,30.38846394
436,TENNESSEE,TN,Coffee,Coffee County,48,0,4,4,40,203,45,127,31,0,502,56520,8.881811748
438,ALABAMA,AL,Coffee,Coffee County,18,1,3,0,14,132,55,65,12,0,300,52342,5.731534905
439,MISSOURI,MO,Cole,Cole County,55,0,0,0,55,268,50,198,20,2,648,76745,8.443546811
440,ILLINOIS,IL,Coles,Coles County,19,0,7,1,11,98,45,44,9,2,236,50621,4.662096758
441,NEBRASKA,NE,Colfax,Colfax County,1,0,0,0,1,27,5,19,3,0,56,10709,5.229246428
442,NEW MEXICO,NM,Colfax,Colfax County,12,0,0,0,12,23,10,12,1,,70,11941,5.862155598
443,FLORIDA,FL,Collier,Collier County,898,9,109,138,642,"3,762",505,"3,042",215,4,9324,384902,24.22434802
444,TEXAS,TX,Collin,Collin County,76,3,35,3,35,346,93,204,49,0,844,1034730,0.815671721
445,TEXAS,TX,Colorado5,Colorado County,12,0,2,0,10,102,16,65,21,0,228,21493,10.60810496
446,NEW YORK,NY,Columbia,Columbia County,27,0,12,0,15,290,55,226,9,1,635,59461,10.67926876
447,GEORGIA,GA,Columbia,Columbia County,53,1,7,9,36,"1,816",164,"1,551",101,1,3739,156714,23.85874906
448,FLORIDA,FL,Columbia,Columbia County,134,4,17,11,102,858,356,468,34,3,1987,71686,27.71810395
449,WISCONSIN,WI,Columbia,Columbia County,21,0,8,1,12,184,43,128,13,1,411,57532,7.143850379
450,ARKANSAS,AR,Columbia,Columbia County,20,1,0,2,17,71,22,41,8,1,183,23457,7.801509144
451,WASHINGTON,WA,Columbia,Columbia County,9,0,1,0,8,63,25,37,1,0,144,3985,36.13550816
452,OHIO,OH,Columbiana,Columbiana County,28,0,4,4,20,326,90,208,28,4,712,101883,6.988408272
453,CALIFORNIA,CA,Colusa,Colusa County,24,2,7,5,10,185,68,114,3,1,419,21547,19.44586253
454,TEXAS,TX,Comal8,Comal County,,0,44,2,,517,161,320,36,0,1080,156209,6.913814185
457,OKLAHOMA,OK,Comanche,Comanche County,23,0,6,0,17,237,95,113,29,2,522,120749,4.323017168
456,KANSAS,KS,Comanche,Comanche County,1,0,1,0,0,10,2,6,2,0,22,1700,12.94117647
455,TEXAS,TX,Comanche,Comanche County,2,0,0,0,2,61,19,36,6,2,128,13635,9.387605427
458,TEXAS,TX,Concho,Concho County,11,0,0,0,11,9,2,7,0,0,40,2726,14.67351431
459,LOUISIANA,LA,Concordia,Concordia County,66,2,1,7,56,340,112,220,8,1,813,19259,42.2140298
460,COLORADO,CO,Conejos,Conejos County,5,0,0,1,4,31,28,0,3,0,72,8205,8.775137112
461,CALIFORNIA,CA,Contra Costa,Contra Costa County,300,4,25,111,160,"1,462",376,"1,062",24,10,3534,1153526,3.063650061
462,ARKANSAS,AR,Conway,Conway County,53,0,14,3,36,274,48,200,26,6,660,20846,31.66075026
463,ILLINOIS,IL,Cook,Cook County,216,1,73,27,115,"1,068",162,773,133,12,2580,5150233,0.50094821
464,MINNESOTA,MN,Cook,Cook County,7,0,4,0,3,32,3,29,0,0,78,5463,14.2778693
465,GEORGIA,GA,Cook,Cook County,43,0,0,1,42,133,43,77,13,0,352,17270,20.38216561
466,TEXAS,TX,Cooke,Cooke County,16,0,4,1,11,116,49,59,8,1,265,41257,6.423152435
467,MISSOURI,MO,Cooper,Cooper County,3,0,1,1,1,78,19,50,9,0,162,17709,9.147890903
468,ALABAMA,AL,Coosa,Coosa County,41,0,3,0,38,171,64,100,7,0,424,10663,39.76366876
469,SOUTH DAKOTA,SD,Corson,Corson County,4,0,0,0,4,40,13,22,5,4,92,4086,22.51590798
470,NEW YORK,NY,Cortland,Cortland County,14,1,5,4,4,234,58,167,9,0,496,47581,10.42432904
471,TEXAS,TX,Coryell,Coryell County,7,0,0,0,7,75,10,61,4,0,164,75951,2.159286909
472,OHIO,OH,Coshocton,Coshocton County,42,0,13,2,27,389,92,263,34,3,865,36600,23.63387978
473,OKLAHOMA,OK,Cotton,Cotton County,0,0,0,0,0,17,4,9,4,0,34,5666,6.000705965
474,MINNESOTA,MN,Cottonwood,Cottonwood County,6,0,0,0,6,20,8,11,1,0,52,11196,4.644515899
475,ALABAMA,AL,Covington,Covington County,4,0,0,0,4,37,14,19,4,0,82,37049,2.213285109
476,GEORGIA,GA,Coweta5,Coweta County,91,1,12,19,59,"1,052",234,735,83,2,2288,148509,15.40647368
477,KANSAS,KS,Cowley,Cowley County,33,0,9,2,22,123,42,69,12,1,313,34908,8.966426034
478,WASHINGTON,WA,Cowlitz,Cowlitz County,83,0,26,7,50,377,115,198,64,2,922,110593,8.336874847
479,OKLAHOMA,OK,Craig,Craig County,12,0,4,0,8,117,53,51,13,4,262,14142,18.52637534
480,VIRGINIA,VA,Craig,Craig County,2,0,0,0,2,3,0,2,1,0,10,5131,1.948937829
481,ARKANSAS,AR,Craighead,Craighead County,56,0,14,3,39,351,138,178,35,2,816,110332,7.395859769
482,NORTH CAROLINA,NC,Craven,Craven County,,0,,7,107,791,309,423,59,4,1700,102139,16.64398516
483,MICHIGAN,MI,Crawford,Crawford County,11,0,5,0,6,70,22,34,14,0,162,14029,11.54750873
484,MISSOURI,MO,Crawford,Crawford County,13,0,2,0,11,227,88,110,29,1,481,23920,20.10869565
485,ARKANSAS,AR,Crawford,Crawford County,37,0,9,1,27,264,46,189,29,0,602,63257,9.516733326
486,ILLINOIS,IL,Crawford,Crawford County,8,0,0,1,7,53,24,28,1,0,122,18667,6.535597579
487,WISCONSIN,WI,Crawford,Crawford County,17,0,4,0,13,105,13,90,2,0,244,16131,15.12615461
488,GEORGIA,GA,Crawford,Crawford County,22,0,2,2,18,210,56,137,17,0,464,12404,37.40728797
489,OHIO,OH,Crawford,Crawford County,3,0,1,0,2,102,36,59,7,0,210,41494,5.060972671
490,OKLAHOMA,OK,Creek,Creek County,44,0,13,4,27,370,120,172,78,1,829,71522,11.59083918
491,GEORGIA,GA,Crisp,Crisp County,9,0,2,1,6,370,49,302,19,0,758,22372,33.88163776
492,ARKANSAS,AR,Crittenden,Crittenden County,120,5,11,8,96,306,75,194,37,5,857,47955,17.87092065
493,KENTUCKY,KY,Crittenden,Crittenden County,2,0,0,0,2,19,6,7,6,0,42,8806,4.769475358
494,TEXAS,TX,"Crockett3,5",Crockett County,3,0,0,1,2,,,11,0,0,17,3464,4.907621247
495,TENNESSEE,TN,Crockett,Crockett County,18,0,2,1,15,77,21,38,18,0,190,14230,13.35207309
496,WYOMING,WY,Crook,Crook County,2,0,2,0,0,15,6,5,4,0,34,7584,4.483122363
497,OREGON,OR,Crook,Crook County,15,0,4,0,11,163,41,106,16,1,357,24404,14.62874939
498,TEXAS,TX,Crosby5,Crosby County,4,0,0,0,4,19,11,5,3,0,46,5737,8.018127941
499,ARKANSAS,AR,Cross,Cross County,33,0,3,0,30,131,23,97,11,0,328,16419,19.97685608
500,MINNESOTA,MN,Crow Wing,Crow Wing County,34,0,9,1,24,329,119,194,16,0,726,65055,11.15978787
501,COLORADO,CO,Crowley,Crowley County,11,0,0,1,10,42,14,23,5,0,106,6061,17.48886322
502,TEXAS,TX,Culberson,Culberson County,0,0,0,0,0,0,0,0,0,0,0,2171,0
503,ALABAMA,AL,Cullman,Cullman County,52,1,23,2,26,911,235,553,123,0,1926,83768,22.99207335
504,VIRGINIA,VA,Culpeper,Culpeper County,18,1,3,0,14,153,19,116,18,0,342,52605,6.501283148
511,TENNESSEE,TN,Cumberland,Cumberland County,38,0,2,1,35,710,197,423,90,4,1500,60520,24.78519498
510,NEW JERSEY,NJ,Cumberland,Cumberland County,1,0,0,0,1,0,0,0,0,0,2,149527,0.013375511
509,ILLINOIS,IL,Cumberland,Cumberland County,1,0,0,0,1,27,11,13,3,0,56,10766,5.201560468
512,VIRGINIA,VA,Cumberland,Cumberland County,12,0,2,2,8,40,9,23,8,0,104,9932,10.47120419
