Notes,State,State Code,Year,Year Code,Deaths,Population,Crude Rate
,Hawaii,15,2015,2015,55,1431603,3.8
,Hawaii,15,2016,2016,66,1428557,4.6
,Hawaii,15,2017,2017,39,1427538,2.7
,Hawaii,15,2018,2018,59,1420491,4.2
Total,Hawaii,15,,,882,26668414,3.3
,Idaho,16,1999,1999,151,1275674,11.8
,Idaho,16,2000,2000,127,1293953,9.8
,Idaho,16,2001,2001,175,1319962,13.3
,Idaho,16,2002,2002,163,1340372,12.2
,Idaho,16,2003,2003,164,1363380,12
,Idaho,16,2004,2004,177,1391802,12.7
,Idaho,16,2005,2005,195,1428241,13.7
,Idaho,16,2006,2006,180,1468669,12.3
,Idaho,16,2007,2007,187,1505105,12.4
,Idaho,16,2008,2008,175,1534320,11.4
,Idaho,16,2009,2009,196,1554439,12.6
,Idaho,16,2010,2010,198,1567582,12.6
,Idaho,16,2011,2011,192,1584985,12.1
,Idaho,16,2012,2012,207,1595728,13
,Idaho,16,2013,2013,227,1612136,14.1
,Idaho,16,2014,2014,213,1634464,13
,Idaho,16,2015,2015,247,1654930,14.9
,Idaho,16,2016,2016,242,1683140,14.4
,Idaho,16,2017,2017,280,1716943,16.3
,Idaho,16,2018,2018,294,1754208,16.8
Total,Idaho,16,,,3990,30280033,13.2
,Illinois,17,1999,1999,1209,12359020,9.8
,Illinois,17,2000,2000,1130,12419293,9.1
,Illinois,17,2001,2001,1289,12488445,10.3
,Illinois,17,2002,2002,1231,12525556,9.8
,Illinois,17,2003,2003,1146,12556006,9.1
,Illinois,17,2004,2004,994,12589773,7.9
,Illinois,17,2005,2005,1019,12609903,8.1
,Illinois,17,2006,2006,1036,12643955,8.2
,Illinois,17,2007,2007,1032,12695866,8.1
,Illinois,17,2008,2008,1105,12747038,8.7
,Illinois,17,2009,2009,1058,12796778,8.3
,Illinois,17,2010,2010,1064,12830632,8.3
,Illinois,17,2011,2011,1114,12869257,8.7
,Illinois,17,2012,2012,1178,12875255,9.1
,Illinois,17,2013,2013,1117,12882135,8.7
,Illinois,17,2014,2014,1179,12880580,9.2
,Illinois,17,2015,2015,1220,12859995,9.5
,Illinois,17,2016,2016,1490,12801539,11.6
,Illinois,17,2017,2017,1543,12802023,12.1
,Illinois,17,2018,2018,1382,12741080,10.8
Total,Illinois,17,,,23536,253974129,9.3
,Indiana,18,1999,1999,680,6044969,11.2
,Indiana,18,2000,2000,666,6080485,11
,Indiana,18,2001,2001,729,6127760,11.9
,Indiana,18,2002,2002,723,6155967,11.7
,Indiana,18,2003,2003,696,6196638,11.2
,Indiana,18,2004,2004,639,6233007,10.3
,Indiana,18,2005,2005,705,6278616,11.2
,Indiana,18,2006,2006,742,6332669,11.7
,Indiana,18,2007,2007,670,6379599,10.5
,Indiana,18,2008,2008,723,6424806,11.3
,Indiana,18,2009,2009,735,6459325,11.4
,Indiana,18,2010,2010,709,6483802,10.9
,Indiana,18,2011,2011,638,6516922,9.8
,Indiana,18,2012,2012,800,6537334,12.2
,Indiana,18,2013,2013,857,6570902,13
,Indiana,18,2014,2014,818,6596855,12.4
,Indiana,18,2015,2015,846,6619680,12.8
,Indiana,18,2016,2016,997,6633053,15
,Indiana,18,2017,2017,1016,6666818,15.2
,Indiana,18,2018,2018,977,6691878,14.6
Total,Indiana,18,,,15366,128031085,12
,Iowa,19,1999,1999,202,2917634,6.9
,Iowa,19,2000,2000,190,2926324,6.5
,Iowa,19,2001,2001,191,2931997,6.5
,Iowa,19,2002,2002,201,2934234,6.9
,Iowa,19,2003,2003,208,2941999,7.1
,Iowa,19,2004,2004,195,2953635,6.6
,Iowa,19,2005,2005,201,2964454,6.8
,Iowa,19,2006,2006,193,2982644,6.5
,Iowa,19,2007,2007,157,2999212,5.2
,Iowa,19,2008,2008,224,3016734,7.4
,Iowa,19,2009,2009,193,3032870,6.4
,Iowa,19,2010,2010,213,3046355,7
,Iowa,19,2011,2011,220,3062309,7.2
,Iowa,19,2012,2012,217,3074186,7.1
,Iowa,19,2013,2013,253,3090416,8.2
,Iowa,19,2014,2014,241,3107126,7.8
,Iowa,19,2015,2015,247,3123899,7.9
,Iowa,19,2016,2016,288,3134693,9.2
,Iowa,19,2017,2017,293,3145711,9.3
,Iowa,19,2018,2018,282,3156145,8.9
Total,Iowa,19,,,4409,60542577,7.3
,Kansas,20,1999,1999,269,2678338,10
,Kansas,20,2000,2000,299,2688418,11.1
,Kansas,20,2001,2001,267,2702162,9.9
,Kansas,20,2002,2002,268,2713535,9.9
,Kansas,20,2003,2003,304,2723004,11.2
,Kansas,20,2004,2004,294,2734373,10.8
,Kansas,20,2005,2005,257,2745299,9.4
,Kansas,20,2006,2006,299,2762931,10.8
,Kansas,20,2007,2007,292,2783785,10.5
,Kansas,20,2008,2008,277,2808076,9.9
,Kansas,20,2009,2009,303,2832704,10.7
,Kansas,20,2010,2010,300,2853118,10.5
,Kansas,20,2011,2011,329,2871238,11.5
,Kansas,20,2012,2012,377,2885905,13.1
,Kansas,20,2013,2013,331,2893957,11.4
,Kansas,20,2014,2014,329,2904021,11.3
,Kansas,20,2015,2015,330,2911641,11.3
,Kansas,20,2016,2016,383,2907289,13.2
,Kansas,20,2017,2017,466,2913123,16
,Kansas,20,2018,2018,424,2911505,14.6
Total,Kansas,20,,,6398,56224422,11.4
,Kentucky,21,1999,1999,525,4018053,13.1
,Kentucky,21,2000,2000,542,4041769,13.4
,Kentucky,21,2001,2001,524,4068132,12.9
,Kentucky,21,2002,2002,544,4089875,13.3
,Kentucky,21,2003,2003,560,4117170,13.6
,Kentucky,21,2004,2004,551,4146101,13.3
,Kentucky,21,2005,2005,548,4182742,13.1
,Kentucky,21,2006,2006,531,4219239,12.6
,Kentucky,21,2007,2007,612,4256672,14.4
,Kentucky,21,2008,2008,576,4289878,13.4
,Kentucky,21,2009,2009,560,4317074,13
,Kentucky,21,2010,2010,555,4339367,12.8
,Kentucky,21,2011,2011,617,4369356,14.1
,Kentucky,21,2012,2012,655,4380415,15
,Kentucky,21,2013,2013,622,4395295,14.2
,Kentucky,21,2014,2014,634,4413457,14.4
,Kentucky,21,2015,2015,694,4425092,15.7
,Kentucky,21,2016,2016,772,4436974,17.4
,Kentucky,21,2017,2017,730,4454189,16.4
,Kentucky,21,2018,2018,762,4468402,17.1
Total,Kentucky,21,,,12114,85429252,14.2
,Louisiana,22,1999,1999,779,4460811,17.5
,Louisiana,22,2000,2000,790,4468976,17.7
,Louisiana,22,2001,2001,781,4477875,17.4
,Louisiana,22,2002,2002,876,4497267,19.5
,Louisiana,22,2003,2003,847,4521042,18.7
,Louisiana,22,2004,2004,902,4552238,19.8
,Louisiana,22,2005,2005,858,4576628,18.7
,Louisiana,22,2006,2006,831,4302665,19.3
,Louisiana,22,2007,2007,869,4375581,19.9
,Louisiana,22,2008,2008,822,4435586,18.5
,Louisiana,22,2009,2009,810,4491648,18
,Louisiana,22,2010,2010,864,4533372,19.1
,Louisiana,22,2011,2011,865,4574836,18.9
,Louisiana,22,2012,2012,845,4601893,18.4
,Louisiana,22,2013,2013,886,4625470,19.2
,Louisiana,22,2014,2014,896,4649676,19.3
,Louisiana,22,2015,2015,952,4670724,20.4
,Louisiana,22,2016,2016,987,4681666,21.1
,Louisiana,22,2017,2017,1008,4684333,21.5
,Louisiana,22,2018,2018,991,4659978,21.3
Total,Louisiana,22,,,17459,90842265,19.2
,Maine,23,1999,1999,113,1266808,8.9
,Maine,23,2000,2000,112,1274923,8.8
,Maine,23,2001,2001,98,1285692,7.6
,Maine,23,2002,2002,88,1295960,6.8
,Maine,23,2003,2003,82,1306513,6.3
,Maine,23,2004,2004,108,1313688,8.2
,Maine,23,2005,2005,109,1318787,8.3
,Maine,23,2006,2006,105,1323619,7.9
,Maine,23,2007,2007,107,1327040,8.1
,Maine,23,2008,2008,122,1330509,9.2
,Maine,23,2009,2009,122,1329590,9.2
,Maine,23,2010,2010,113,1328361,8.5
,Maine,23,2011,2011,136,1328188,10.2
,Maine,23,2012,2012,130,1329192,9.8
,Maine,23,2013,2013,158,1328302,11.9
,Maine,23,2014,2014,133,1330089,10
,Maine,23,2015,2015,144,1329328,10.8
,Maine,23,2016,2016,123,1331479,9.2
,Maine,23,2017,2017,172,1335907,12.9
,Maine,23,2018,2018,159,1338404,11.9
Total,Maine,23,,,2434,26352379,9.2
,Maryland,24,1999,1999,657,5254509,12.5
,Maryland,24,2000,2000,617,5296486,11.6
,Maryland,24,2001,2001,607,5374691,11.3
,Maryland,24,2002,2002,615,5440389,11.3
,Maryland,24,2003,2003,648,5496269,11.8
,Maryland,24,2004,2004,656,5546935,11.8
,Maryland,24,2005,2005,657,5592379,11.7
,Maryland,24,2006,2006,678,5627367,12
,Maryland,24,2007,2007,678,5653408,12
,Maryland,24,2008,2008,665,5684965,11.7
,Maryland,24,2009,2009,586,5730388,10.2
,Maryland,24,2010,2010,538,5773552,9.3
,Maryland,24,2011,2011,542,5828289,9.3
,Maryland,24,2012,2012,589,5884563,10
,Maryland,24,2013,2013,578,5928814,9.7
,Maryland,24,2014,2014,546,5976407,9.1
,Maryland,24,2015,2015,708,6006401,11.8
,Maryland,24,2016,2016,707,6016447,11.8
,Maryland,24,2017,2017,742,6052177,12.3
,Maryland,24,2018,2018,707,6042718,11.7
Total,Maryland,24,,,12721,114207154,11.1
,Massachusetts,25,1999,1999,195,6317345,3.1
,Massachusetts,25,2000,2000,176,6349097,2.8
,Massachusetts,25,2001,2001,194,6397634,3
,Massachusetts,25,2002,2002,204,6417206,3.2
,Massachusetts,25,2003,2003,204,6422565,3.2
,Massachusetts,25,2004,2004,206,6412281,3.2
,Massachusetts,25,2005,2005,224,6403290,3.5
,Massachusetts,25,2006,2006,211,6410084,3.3
,Massachusetts,25,2007,2007,235,6431559,3.7
,Massachusetts,25,2008,2008,224,6468967,3.5
,Massachusetts,25,2009,2009,207,6517613,3.2
,Massachusetts,25,2010,2010,270,6547629,4.1
,Massachusetts,25,2011,2011,254,6587536,3.9
,Massachusetts,25,2012,2012,233,6646144,3.5
,Massachusetts,25,2013,2013,212,6692824,3.2
,Massachusetts,25,2014,2014,226,6745408,3.4
,Massachusetts,25,2015,2015,213,6794422,3.1
,Massachusetts,25,2016,2016,242,6811779,3.6
,Massachusetts,25,2017,2017,262,6859819,3.8
,Massachusetts,25,2018,2018,258,6902149,3.7
Total,Massachusetts,25,,,4450,131135351,3.4
,Michigan,26,1999,1999,1085,9897116,11
,Michigan,26,2000,2000,1071,9938444,10.8
,Michigan,26,2001,2001,1077,9991120,10.8
,Michigan,26,2002,2002,1092,10015710,10.9
,Michigan,26,2003,2003,1030,10041152,10.3
,Michigan,26,2004,2004,1048,10055315,10.4
,Michigan,26,2005,2005,1074,10051137,10.7
,Michigan,26,2006,2006,1157,10036081,11.5
,Michigan,26,2007,2007,1095,10001284,10.9
,Michigan,26,2008,2008,1081,9946889,10.9
,Michigan,26,2009,2009,1095,9901591,11.1
,Michigan,26,2010,2010,1076,9883640,10.9
,Michigan,26,2011,2011,1156,9876187,11.7
,Michigan,26,2012,2012,1222,9883360,12.4
,Michigan,26,2013,2013,1190,9895622,12
,Michigan,26,2014,2014,1095,9909877,11
,Michigan,26,2015,2015,1164,9922576,11.7
,Michigan,26,2016,2016,1230,9928300,12.4
,Michigan,26,2017,2017,1138,9962311,11.4
,Michigan,26,2018,2018,1310,9995915,13.1
Total,Michigan,26,,,22486,199133627,11.3
,Minnesota,27,1999,1999,296,4873481,6.1
,Minnesota,27,2000,2000,312,4919479,6.3
,Minnesota,27,2001,2001,324,4982796,6.5
,Minnesota,27,2002,2002,306,5018935,6.1
,Minnesota,27,2003,2003,332,5053572,6.6
,Minnesota,27,2004,2004,363,5087713,7.1
,Minnesota,27,2005,2005,361,5119598,7.1
,Minnesota,27,2006,2006,329,5163555,6.4
,Minnesota,27,2007,2007,344,5207203,6.6
,Minnesota,27,2008,2008,371,5247018,7.1
,Minnesota,27,2009,2009,336,5281203,6.4
,Minnesota,27,2010,2010,365,5303925,6.9
,Minnesota,27,2011,2011,396,5344861,7.4
,Minnesota,27,2012,2012,382,5379139,7.1
,Minnesota,27,2013,2013,427,5420380,7.9
,Minnesota,27,2014,2014,377,5457173,6.9
,Minnesota,27,2015,2015,410,5489594,7.5
,Minnesota,27,2016,2016,432,5519952,7.8
,Minnesota,27,2017,2017,465,5576606,8.3
,Minnesota,27,2018,2018,437,5611179,7.8
Total,Minnesota,27,,,7365,105057362,7
,Mississippi,28,1999,1999,515,2828408,18.2
,Mississippi,28,2000,2000,471,2844658,16.6
,Mississippi,28,2001,2001,502,2852994,17.6
,Mississippi,28,2002,2002,492,2858681,17.2
,Mississippi,28,2003,2003,477,2868312,16.6
,Mississippi,28,2004,2004,471,2889010,16.3
,Mississippi,28,2005,2005,455,2905943,15.7
,Mississippi,28,2006,2006,475,2904978,16.4
,Mississippi,28,2007,2007,535,2928350,18.3
,Mississippi,28,2008,2008,568,2947806,19.3
,Mississippi,28,2009,2009,487,2958774,16.5
,Mississippi,28,2010,2010,475,2967297,16
,Mississippi,28,2011,2011,530,2978512,17.8
,Mississippi,28,2012,2012,535,2984926,17.9
,Mississippi,28,2013,2013,525,2991207,17.6
,Mississippi,28,2014,2014,547,2994079,18.3
,Mississippi,28,2015,2015,589,2992333,19.7
,Mississippi,28,2016,2016,587,2988726,19.6
,Mississippi,28,2017,2017,632,2984100,21.2
,Mississippi,28,2018,2018,681,2986530,22.8
Total,Mississippi,28,,,10549,58655624,18
,Missouri,29,1999,1999,711,5561948,12.8
,Missouri,29,2000,2000,742,5595211,13.3
,Missouri,29,2001,2001,744,5641142,13.2
,Missouri,29,2002,2002,696,5674825,12.3
,Missouri,29,2003,2003,657,5709403,11.5
,Missouri,29,2004,2004,664,5747741,11.6
,Missouri,29,2005,2005,752,5790300,13
,Missouri,29,2006,2006,767,5842704,13.1
,Missouri,29,2007,2007,759,5887612,12.9
,Missouri,29,2008,2008,818,5923916,13.8
,Missouri,29,2009,2009,822,5961088,13.8
,Missouri,29,2010,2010,846,5988927,14.1
,Missouri,29,2011,2011,854,6010688,14.2
,Missouri,29,2012,2012,882,6021988,14.6
,Missouri,29,2013,2013,880,6044171,14.6
,Missouri,29,2014,2014,943,6063589,15.6
,Missouri,29,2015,2015,1094,6083672,18
,Missouri,29,2016,2016,1144,6093000,18.8
,Missouri,29,2017,2017,1307,6113532,21.4
,Missouri,29,2018,2018,1311,6126452,21.4
Total,Missouri,29,,,17393,117881909,14.8
,Montana,30,1999,1999,123,897507,13.7
,Montana,30,2000,2000,134,902195,14.9
,Montana,30,2001,2001,160,906961,17.6
,Montana,30,2002,2002,134,911667,14.7
,Montana,30,2003,2003,145,919630,15.8
,Montana,30,2004,2004,125,930009,13.4
,Montana,30,2005,2005,161,940102,17.1
,Montana,30,2006,2006,120,952692,12.6
,Montana,30,2007,2007,139,964706,14.4
,Montana,30,2008,2008,155,976415,15.9
,Montana,30,2009,2009,166,983982,16.9
,Montana,30,2010,2010,164,989415,16.6
,Montana,30,2011,2011,167,998199,16.7
,Montana,30,2012,2012,171,1005141,17
,Montana,30,2013,2013,172,1015165,16.9
,Montana,30,2014,2014,172,1023579,16.8
,Montana,30,2015,2015,205,1032949,19.8
,Montana,30,2016,2016,194,1042520,18.6
,Montana,30,2017,2017,244,1050493,23.2
,Montana,30,2018,2018,186,1062305,17.5
Total,Montana,30,,,3237,19505632,16.6
,Nebraska,31,1999,1999,146,1704764,8.6
,Nebraska,31,2000,2000,168,1711263,9.8
,Nebraska,31,2001,2001,140,1719836,8.1
,Nebraska,31,2002,2002,140,1728292,8.1
,Nebraska,31,2003,2003,134,1738643,7.7
,Nebraska,31,2004,2004,119,1749370,6.8
,Nebraska,31,2005,2005,135,1761497,7.7
,Nebraska,31,2006,2006,141,1772693,8
,Nebraska,31,2007,2007,142,1783440,8
,Nebraska,31,2008,2008,150,1796378,8.4
,Nebraska,31,2009,2009,132,1812683,7.3
,Nebraska,31,2010,2010,152,1826341,8.3
